traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
DELINEATORS,CLEAR,DUSK,REAR END,UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,SAND,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,EXCEEDING AUTHORIZED SPEED LIMIT,6,NO INDICATION OF INJURY,15,0,2,9,12,16,15,7,10
RAILROAD CROSSING GATE,BLOWING SNOW,DARKNESS,HEAD ON,RAMP,STRAIGHT AND LEVEL,DRY,RUT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,BICYCLE ADVANCING LEGALLY ON RED LIGHT,1,NO INDICATION OF INJURY,8,2,6,16,13,20,13,7,7
UNKNOWN,SNOW,DARKNESS,TRAIN,T-INTERSECTION,CURVE ON GRADE,OTHER,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,5,INCAPACITATING INJURY,7,0,3,11,11,48,16,6,1
OTHER,SEVERE CROSS WIND GATE,DARKNESS,PEDESTRIAN,OTHER,CURVE,ICE,HOLES,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,TURNING RIGHT ON RED,9,NO INDICATION OF INJURY,14,2,3,9,2,21,21,2,10
TRAFFIC SIGNAL,UNKNOWN,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,Y-INTERSECTION,CURVE ON GRADE,DRY,RUT,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",NOT APPLICABLE,8,"REPORTED, NOT EVIDENT",15,0,2,16,7,48,3,6,11
LANE USE MARKING,CLOUDY/OVERCAST,DAWN,FIXED OBJECT,CENTER TURN LANE,STRAIGHT ON GRADE,OTHER,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DISTRACTION - FROM INSIDE VEHICLE,11,INCAPACITATING INJURY,4,2,5,11,0,25,15,3,9
NO CONTROLS,SNOW,DAWN,PARKED MOTOR VEHICLE,CENTER TURN LANE,STRAIGHT AND LEVEL,ICE,RUT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",7,INCAPACITATING INJURY,12,1,4,15,13,2,6,7,5
NO PASSING,BLOWING SAND,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,"FIVE POINT, OR MORE",CURVE ON HILLCREST,SNOW OR SLUSH,HOLES,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",FOLLOWING TOO CLOSELY,4,FATAL,19,3,4,4,6,15,7,2,12
OTHER REG. SIGN,OTHER,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,STRAIGHT ON HILLCREST,DIRT,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",BICYCLE ADVANCING LEGALLY ON RED LIGHT,7,INCAPACITATING INJURY,8,2,5,5,5,6,16,5,5
TRAFFIC SIGNAL,CLEAR,DARKNESS,REAR TO REAR,RAMP,STRAIGHT ON GRADE,ICE,RUT,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",8,"REPORTED, NOT EVIDENT",1,0,1,9,14,27,18,2,10
LANE USE MARKING,CLEAR,UNKNOWN,OTHER OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),CURVE,SNOW OR SLUSH,WORN SURFACE,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",PHYSICAL CONDITION OF DRIVER,7,NONINCAPACITATING INJURY,10,3,7,5,1,14,17,5,2
TRAFFIC SIGNAL,SNOW,DAWN,REAR END,UNKNOWN,CURVE ON HILLCREST,MUD,HOLES,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,6,"REPORTED, NOT EVIDENT",0,0,1,7,2,32,23,7,1
NO PASSING,BLOWING SAND,DARKNESS,SIDESWIPE SAME DIRECTION,TRAFFIC ROUTE,STRAIGHT AND LEVEL,UNKNOWN,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500","VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",3,NONINCAPACITATING INJURY,19,3,5,5,1,13,6,1,9
BICYCLE CROSSING SIGN,BLOWING SAND,DUSK,ANIMAL,ONE-WAY,STRAIGHT ON GRADE,ICE,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",WEATHER,4,INCAPACITATING INJURY,6,3,5,8,1,31,10,3,5
RR CROSSING SIGN,CLOUDY/OVERCAST,DUSK,PEDESTRIAN,NOT DIVIDED,LEVEL,OTHER,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",NOT APPLICABLE,5,"REPORTED, NOT EVIDENT",10,2,5,3,13,13,1,5,11
PEDESTRIAN CROSSING SIGN,SOIL,UNKNOWN,SIDESWIPE SAME DIRECTION,"FIVE POINT, OR MORE",CURVE ON HILLCREST,MUD,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,10,NO INDICATION OF INJURY,19,2,6,3,5,32,15,1,8
RR CROSSING SIGN,RAIN,DAYLIGHT,REAR TO REAR,PARKING LOT,CURVE,SNOW OR SLUSH,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,RELATED TO BUS STOP,9,FATAL,7,3,3,4,0,5,22,4,11
PEDESTRIAN CROSSING SIGN,FREEZING RAIN/DRIZZLE,DUSK,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,HOLES,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),2,FATAL,0,1,4,9,3,18,21,1,1
DELINEATORS,FREEZING RAIN/DRIZZLE,UNKNOWN,PEDALCYCLIST,OTHER,CURVE ON GRADE,WET,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,6,FATAL,12,0,2,15,9,28,7,3,4
UNKNOWN,FOG/SMOKE/HAZE,UNKNOWN,OVERTURNED,"FIVE POINT, OR MORE",CURVE ON HILLCREST,UNKNOWN,HOLES,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISREGARDING STOP SIGN,6,NONINCAPACITATING INJURY,2,2,6,1,1,21,2,6,4
SCHOOL ZONE,BLOWING SAND,DUSK,PARKED MOTOR VEHICLE,T-INTERSECTION,STRAIGHT ON GRADE,UNKNOWN,HOLES,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,5,NONINCAPACITATING INJURY,13,0,4,0,1,19,22,2,11
YIELD,SNOW,DARKNESS,PEDESTRIAN,DRIVEWAY,CURVE ON GRADE,SNOW OR SLUSH,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,RELATED TO BUS STOP,8,NONINCAPACITATING INJURY,1,2,0,0,8,37,14,2,1
OTHER,SOIL,LIGHTED ROAD,PARKED MOTOR VEHICLE,OTHER,STRAIGHT ON HILLCREST,DRY,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,8,"REPORTED, NOT EVIDENT",15,3,3,19,2,25,9,2,2
OTHER WARNING SIGN,FOG/SMOKE/HAZE,DARKNESS,PEDALCYCLIST,RAMP,CURVE ON HILLCREST,SNOW OR SLUSH,RUT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,ANIMAL,7,NO INDICATION OF INJURY,19,2,7,0,3,28,9,5,11
BICYCLE CROSSING SIGN,UNKNOWN,DARKNESS,SIDESWIPE SAME DIRECTION,L-INTERSECTION,STRAIGHT AND LEVEL,ICE,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DISTRACTION - FROM INSIDE VEHICLE,2,"REPORTED, NOT EVIDENT",5,1,3,9,8,33,15,7,9
STOP SIGN/FLASHER,BLOWING SNOW,LIGHTED ROAD,FIXED OBJECT,T-INTERSECTION,CURVE,UNKNOWN,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,"OVER $1,500",RELATED TO BUS STOP,6,"REPORTED, NOT EVIDENT",15,2,0,12,9,42,11,7,2
SCHOOL ZONE,SEVERE CROSS WIND GATE,UNKNOWN,TURNING,DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,SNOW OR SLUSH,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,FOLLOWING TOO CLOSELY,1,INCAPACITATING INJURY,18,3,4,17,9,27,8,6,5
OTHER,FREEZING RAIN/DRIZZLE,DAWN,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,SNOW OR SLUSH,HOLES,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",PHYSICAL CONDITION OF DRIVER,1,"REPORTED, NOT EVIDENT",8,1,3,14,14,9,13,6,8
OTHER REG. SIGN,SNOW,DAYLIGHT,FIXED OBJECT,ALLEY,STRAIGHT AND LEVEL,SNOW OR SLUSH,OTHER,NO INJURY / DRIVE AWAY,N,"OVER $1,500",IMPROPER OVERTAKING/PASSING,11,NONINCAPACITATING INJURY,1,0,6,12,9,4,18,2,11
TRAFFIC SIGNAL,CLOUDY/OVERCAST,DARKNESS,OVERTURNED,ONE-WAY,CURVE,MUD,HOLES,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,DISREGARDING ROAD MARKINGS,4,NONINCAPACITATING INJURY,12,3,6,3,10,39,18,3,8
OTHER RAILROAD CROSSING,DIRT,DAWN,TRAIN,UNKNOWN INTERSECTION TYPE,CURVE ON GRADE,MUD,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",TURNING RIGHT ON RED,2,"REPORTED, NOT EVIDENT",13,0,5,21,3,46,8,6,4
NO PASSING,SNOW,DAWN,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON HILLCREST,DRY,RUT,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,DISREGARDING YIELD SIGN,8,INCAPACITATING INJURY,0,3,4,13,7,8,15,6,10
NO PASSING,SNOW,DARKNESS,SIDESWIPE OPPOSITE DIRECTION,PARKING LOT,STRAIGHT ON HILLCREST,WET,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",ROAD ENGINEERING/SURFACE/MARKING DEFECTS,2,NO INDICATION OF INJURY,8,3,5,19,14,16,3,3,3
YIELD,SEVERE CROSS WIND GATE,LIGHTED ROAD,TURNING,ALLEY,STRAIGHT AND LEVEL,OTHER,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,DISREGARDING ROAD MARKINGS,1,"REPORTED, NOT EVIDENT",13,1,2,21,4,38,19,4,4
LANE USE MARKING,DIRT,DARKNESS,FIXED OBJECT,ONE-WAY,STRAIGHT ON GRADE,DRY,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,6,NO INDICATION OF INJURY,7,0,2,11,0,15,21,5,11
NO PASSING,SEVERE CROSS WIND GATE,DUSK,PEDESTRIAN,OTHER,STRAIGHT ON HILLCREST,DRY,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",7,NONINCAPACITATING INJURY,16,0,6,19,7,48,4,4,5
NO PASSING,BLOWING SAND,LIGHTED ROAD,HEAD ON,OTHER,CURVE,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",ROAD CONSTRUCTION/MAINTENANCE,10,FATAL,9,2,6,7,5,10,10,7,6
OTHER RAILROAD CROSSING,CLOUDY/OVERCAST,DAWN,ANGLE,T-INTERSECTION,CURVE,SNOW OR SLUSH,OTHER,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",FOLLOWING TOO CLOSELY,4,NONINCAPACITATING INJURY,1,1,4,2,10,36,8,4,8
RR CROSSING SIGN,BLOWING SNOW,LIGHTED ROAD,TRAIN,"FIVE POINT, OR MORE",CURVE ON HILLCREST,OTHER,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,DISREGARDING ROAD MARKINGS,2,INCAPACITATING INJURY,12,1,4,11,10,34,0,2,1
SCHOOL ZONE,RAIN,DAWN,FIXED OBJECT,ONE-WAY,CURVE ON GRADE,ICE,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",RELATED TO BUS STOP,10,FATAL,2,0,4,14,14,43,10,3,11
RR CROSSING SIGN,RAIN,UNKNOWN,FIXED OBJECT,ONE-WAY,STRAIGHT ON HILLCREST,DIRT,RUT,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",EQUIPMENT - VEHICLE CONDITION,8,FATAL,8,3,5,6,1,42,16,4,3
OTHER RAILROAD CROSSING,CLOUDY/OVERCAST,DARKNESS,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON HILLCREST,SAND,NO DEFECTS,NO INJURY / DRIVE AWAY,N,"OVER $1,500",DISREGARDING ROAD MARKINGS,7,INCAPACITATING INJURY,13,3,7,1,12,17,1,1,6
OTHER WARNING SIGN,CLOUDY/OVERCAST,UNKNOWN,SIDESWIPE OPPOSITE DIRECTION,FOUR WAY,LEVEL,SAND,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",OBSTRUCTED CROSSWALKS,6,FATAL,0,2,7,12,8,13,3,4,4
OTHER,CLEAR,UNKNOWN,HEAD ON,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",ANIMAL,5,NO INDICATION OF INJURY,11,0,6,0,7,25,8,1,4
TRAFFIC SIGNAL,DIRT,UNKNOWN,OTHER NONCOLLISION,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,RUT,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,FAILING TO REDUCE SPEED TO AVOID CRASH,3,INCAPACITATING INJURY,4,0,0,19,7,27,7,7,12
BICYCLE CROSSING SIGN,OTHER,DAYLIGHT,TRAIN,NOT DIVIDED,STRAIGHT ON GRADE,OTHER,HOLES,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,NOT APPLICABLE,4,NO INDICATION OF INJURY,9,3,6,10,0,43,13,2,2
TRAFFIC SIGNAL,SLEET/HAIL,DAWN,PEDESTRIAN,UNKNOWN,STRAIGHT ON HILLCREST,DRY,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,PHYSICAL CONDITION OF DRIVER,5,NO INDICATION OF INJURY,17,1,0,17,6,44,10,1,4
OTHER RAILROAD CROSSING,UNKNOWN,DUSK,ANIMAL,RAMP,STRAIGHT ON HILLCREST,UNKNOWN,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",IMPROPER LANE USAGE,8,NONINCAPACITATING INJURY,19,0,4,16,13,43,3,6,6
TRAFFIC SIGNAL,BLOWING SNOW,UNKNOWN,HEAD ON,RAMP,CURVE ON HILLCREST,SAND,UNKNOWN,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,DISTRACTION - FROM INSIDE VEHICLE,7,"REPORTED, NOT EVIDENT",15,2,5,1,2,37,4,6,11
RAILROAD CROSSING GATE,SEVERE CROSS WIND GATE,UNKNOWN,FIXED OBJECT,DRIVEWAY,STRAIGHT ON HILLCREST,SAND,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,"OVER $1,500",DISREGARDING STOP SIGN,8,NONINCAPACITATING INJURY,14,3,0,4,13,32,6,5,4
OTHER,DIRT,UNKNOWN,TRAIN,"FIVE POINT, OR MORE",STRAIGHT ON GRADE,OTHER,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",UNABLE TO DETERMINE,11,INCAPACITATING INJURY,6,3,5,18,0,22,2,7,7
YIELD,SNOW,DUSK,OTHER OBJECT,RAMP,LEVEL,MUD,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500","VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",6,FATAL,17,2,6,12,6,36,9,3,8
YIELD,CLEAR,UNKNOWN,REAR TO SIDE,PARKING LOT,STRAIGHT ON HILLCREST,DRY,HOLES,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",ROAD ENGINEERING/SURFACE/MARKING DEFECTS,6,NONINCAPACITATING INJURY,8,1,6,7,1,36,6,7,1
RAILROAD CROSSING GATE,SLEET/HAIL,DARKNESS,TRAIN,Y-INTERSECTION,STRAIGHT AND LEVEL,MUD,OTHER,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,IMPROPER OVERTAKING/PASSING,10,INCAPACITATING INJURY,16,3,5,7,0,20,7,3,6
FLASHING CONTROL SIGNAL,CLEAR,DAWN,PEDESTRIAN,CENTER TURN LANE,CURVE ON GRADE,ICE,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,TURNING RIGHT ON RED,7,NO INDICATION OF INJURY,2,3,1,6,9,20,18,2,7
OTHER WARNING SIGN,FREEZING RAIN/DRIZZLE,DUSK,TURNING,T-INTERSECTION,CURVE ON GRADE,MUD,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DISREGARDING YIELD SIGN,2,NO INDICATION OF INJURY,17,0,3,0,5,26,0,6,4
PEDESTRIAN CROSSING SIGN,SEVERE CROSS WIND GATE,DARKNESS,TURNING,DRIVEWAY,STRAIGHT AND LEVEL,UNKNOWN,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,OBSTRUCTED CROSSWALKS,7,FATAL,17,2,1,15,5,13,15,3,1
BICYCLE CROSSING SIGN,SOIL,DUSK,PEDALCYCLIST,ALLEY,LEVEL,DIRT,RUT,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,9,INCAPACITATING INJURY,4,0,4,15,7,14,17,5,8
OTHER WARNING SIGN,RAIN,UNKNOWN,TRAIN,UNKNOWN,CURVE ON GRADE,SNOW OR SLUSH,RUT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",9,FATAL,15,0,4,10,7,38,4,1,8
OTHER,UNKNOWN,DAWN,REAR END,"FIVE POINT, OR MORE",CURVE ON HILLCREST,DIRT,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISTRACTION - FROM INSIDE VEHICLE,8,"REPORTED, NOT EVIDENT",16,2,1,16,0,3,11,7,1
SCHOOL ZONE,FOG/SMOKE/HAZE,DARKNESS,SIDESWIPE SAME DIRECTION,TRAFFIC ROUTE,LEVEL,SAND,NO DEFECTS,NO INJURY / DRIVE AWAY,N,$500 OR LESS,ROAD CONSTRUCTION/MAINTENANCE,6,NO INDICATION OF INJURY,3,2,7,12,13,38,13,4,7
NO CONTROLS,FOG/SMOKE/HAZE,DUSK,REAR TO FRONT,Y-INTERSECTION,CURVE,MUD,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",IMPROPER BACKING,9,FATAL,7,3,0,2,3,0,2,3,11
NO CONTROLS,SNOW,DUSK,OVERTURNED,DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON HILLCREST,OTHER,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",RELATED TO BUS STOP,1,NONINCAPACITATING INJURY,17,0,1,2,6,36,4,3,1
LANE USE MARKING,CLOUDY/OVERCAST,LIGHTED ROAD,OTHER OBJECT,OTHER,STRAIGHT AND LEVEL,UNKNOWN,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",RELATED TO BUS STOP,9,FATAL,8,1,2,2,8,9,8,4,11
STOP SIGN/FLASHER,BLOWING SNOW,DAWN,FIXED OBJECT,"FIVE POINT, OR MORE",STRAIGHT ON HILLCREST,SNOW OR SLUSH,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,7,NO INDICATION OF INJURY,16,3,7,1,5,38,2,7,6
OTHER REG. SIGN,FREEZING RAIN/DRIZZLE,LIGHTED ROAD,HEAD ON,NOT DIVIDED,STRAIGHT AND LEVEL,ICE,RUT,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,DISREGARDING TRAFFIC SIGNALS,6,"REPORTED, NOT EVIDENT",10,2,7,15,12,41,11,3,7
RR CROSSING SIGN,SNOW,DARKNESS,HEAD ON,FOUR WAY,CURVE,OTHER,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,RELATED TO BUS STOP,1,FATAL,9,1,5,16,14,42,18,4,2
NO PASSING,SEVERE CROSS WIND GATE,DUSK,REAR TO FRONT,UNKNOWN INTERSECTION TYPE,CURVE ON GRADE,ICE,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DISREGARDING YIELD SIGN,2,INCAPACITATING INJURY,19,3,5,3,14,23,0,5,12
NO CONTROLS,SEVERE CROSS WIND GATE,DAYLIGHT,HEAD ON,L-INTERSECTION,STRAIGHT ON HILLCREST,DRY,RUT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,TURNING RIGHT ON RED,7,NONINCAPACITATING INJURY,7,2,6,20,2,45,19,1,3
PEDESTRIAN CROSSING SIGN,SOIL,DAYLIGHT,ANIMAL,CENTER TURN LANE,STRAIGHT ON HILLCREST,UNKNOWN,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",IMPROPER LANE USAGE,5,FATAL,6,2,2,14,8,30,17,4,8
OTHER RAILROAD CROSSING,OTHER,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,LEVEL,DIRT,RUT,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",BICYCLE ADVANCING LEGALLY ON RED LIGHT,7,NONINCAPACITATING INJURY,17,1,4,11,3,2,2,6,1
PEDESTRIAN CROSSING SIGN,SOIL,DAWN,OTHER NONCOLLISION,DIVIDED - W/MEDIAN (NOT RAISED),CURVE,UNKNOWN,HOLES,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,EQUIPMENT - VEHICLE CONDITION,3,NONINCAPACITATING INJURY,13,3,2,5,14,34,18,5,2
PEDESTRIAN CROSSING SIGN,DIRT,DUSK,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DIRT,HOLES,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,1,FATAL,3,3,2,3,7,18,6,3,2
OTHER RAILROAD CROSSING,CLOUDY/OVERCAST,UNKNOWN,TURNING,FOUR WAY,CURVE,DIRT,RUT,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",CELL PHONE USE OTHER THAN TEXTING,5,FATAL,17,2,0,4,7,31,13,7,10
UNKNOWN,FREEZING RAIN/DRIZZLE,DAWN,HEAD ON,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,OTHER,OTHER,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",EXCEEDING AUTHORIZED SPEED LIMIT,11,"REPORTED, NOT EVIDENT",1,2,1,9,5,9,2,5,5
STOP SIGN/FLASHER,RAIN,UNKNOWN,OVERTURNED,L-INTERSECTION,CURVE,DIRT,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",5,NO INDICATION OF INJURY,6,3,2,16,0,30,20,2,4
DELINEATORS,DIRT,UNKNOWN,OTHER NONCOLLISION,DRIVEWAY,CURVE ON HILLCREST,ICE,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",UNABLE TO DETERMINE,6,INCAPACITATING INJURY,7,1,5,5,7,1,0,1,9
OTHER WARNING SIGN,SLEET/HAIL,DARKNESS,SIDESWIPE SAME DIRECTION,NOT DIVIDED,CURVE ON HILLCREST,DRY,HOLES,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DRIVING ON WRONG SIDE/WRONG WAY,7,FATAL,15,2,1,3,0,40,1,5,6
OTHER RAILROAD CROSSING,SEVERE CROSS WIND GATE,DAWN,TURNING,DRIVEWAY,LEVEL,SAND,OTHER,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,4,NO INDICATION OF INJURY,10,3,4,13,3,48,10,3,9
SCHOOL ZONE,RAIN,DARKNESS,REAR TO REAR,ALLEY,LEVEL,UNKNOWN,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",IMPROPER LANE USAGE,5,INCAPACITATING INJURY,18,0,5,18,8,44,8,2,6
